long.fips,long.name,short.fips,year,median.age,hs.plus,bachelors.plus,ag.percent.employ,mean.income,median.income,white.percent,papers.total,papers.daily,ktype_use,k.seats,party.presence,party.comp,general.presence,general.comp,population,pop_density
620L500US05001,"State House District 1 (2016), Arkansas",5001,2018,37.4,85.1,15.7,0.95,50891,36627,60.2,1179,1179,SMD,1,0,0,0,1,29129,NA
620L500US05013,"State House District 13 (2016), Arkansas",5013,2018,41.5,82.9,12.9,8.1,52606,37931,78.07,3712,215,SMD,1,0,0,0,1,28136,NA
620L500US05003,"State House District 3 (2016), Arkansas",5003,2018,39.2,80.2,13.1,3.92,45279,33405,64.23,2051,0,SMD,1,1,1,1,1,28762,NA
620L500US05036,"State House District 36 (2016), Arkansas",5036,2018,36,81.3,13.6,0.52,40227,30596,31.85,3598,1799,SMD,1,0,0,0,1,28942,NA
620L500US05004,"State House District 4 (2016), Arkansas",5004,2018,37.6,77.1,8.9,4.63,49384,36533,69,2948,0,SMD,1,0,0,0,1,28573,NA
620L500US05043,"State House District 43 (2016), Arkansas",5043,2018,36.3,90.1,22,0.41,67148,58484,91.81,1066,0,SMD,1,0,0,0,1,29899,NA
620L500US05044,"State House District 44 (2016), Arkansas",5044,2018,34.2,87.8,19,1.38,62656,55877,94.27,2048,715,SMD,1,1,1,1,1,32890,NA
620L500US05051,"State House District 51 (2016), Arkansas",5051,2018,35.2,87.1,20.5,2.27,57990,50031,58.25,807,0,SMD,1,0,0,0,1,27109,NA
620L500US05052,"State House District 52 (2016), Arkansas",5052,2018,39.1,82.6,12.8,7.66,53521,39431,91.09,3302,692,SMD,1,0,0,0,1,31181,NA
620L500US05053,"State House District 53 (2016), Arkansas",5053,2018,33.6,87.5,21.5,2.74,56033,44603,86.42,1566,1566,SMD,1,1,1,1,1,30805,NA
620L500US05058,"State House District 58 (2016), Arkansas",5058,2018,34.2,91.6,35.9,1.1,69230,42449,78.27,692,692,SMD,1,1,1,1,1,31394,NA
