candidate_ID,assigned_ID,year,state,postal,FIPS,chamber,long_district_FIPS,long_district_name,short_FIPS
AR-Y50KB81_Dalby_C,Y50KB81,2018,Arkansas,AR,5,lower,620L500US05001,"State House District 1 (2016), Arkansas",5001
AR-V208G8R_Hillman_D,V208G8R,2018,Arkansas,AR,5,lower,620L500US05013,"State House District 13 (2016), Arkansas",5013
AR-107EA1K_Watson_D,107EA1K,2018,Arkansas,AR,5,lower,620L500US05003,"State House District 3 (2016), Arkansas",5003
AR-V56PB68_Blake_C,V56PB68,2018,Arkansas,AR,5,lower,620L500US05036,"State House District 36 (2016), Arkansas",5036
AR-3F03ON2_Vaught_D,3F03ON2,2018,Arkansas,AR,5,lower,620L500US05004,"State House District 4 (2016), Arkansas",5004
AR-F057EH1_Evans_B,F057EH1,2018,Arkansas,AR,5,lower,620L500US05043,"State House District 43 (2016), Arkansas",5043
AR-1G7G7O5_Cooper_C,1G7G7O5,2018,Arkansas,AR,5,lower,620L500US05044,"State House District 44 (2016), Arkansas",5044
AR-07OZB12_Ferguson_D,07OZB12,2018,Arkansas,AR,5,lower,620L500US05051,"State House District 51 (2016), Arkansas",5051
AR-7A5IE92_Tosh_D,7A5IE92,2018,Arkansas,AR,5,lower,620L500US05052,"State House District 52 (2016), Arkansas",5052
AR-8QY8I97_Sullivan_D,8QY8I97,2018,Arkansas,AR,5,lower,620L500US05053,"State House District 53 (2016), Arkansas",5053
AR-79K87BJ_Smith_B,79K87BJ,2018,Arkansas,AR,5,lower,620L500US05058,"State House District 58 (2016), Arkansas",5058
AR-R2V13M3_Ladyman_J,R2V13M3,2018,Arkansas,AR,5,lower,620L500US05059,"State House District 59 (2016), Arkansas",5059
AR-Z7O089Z_Deffenbaugh_G,Z7O089Z,2018,Arkansas,AR,5,lower,620L500US05079,"State House District 79 (2016), Arkansas",5079
AR-J991V2S_Penzo_C,J991V2S,2018,Arkansas,AR,5,lower,620L500US05088,"State House District 88 (2016), Arkansas",5088
AR-EZO2169_Douglas_D,EZO2169,2018,Arkansas,AR,5,lower,620L500US05091,"State House District 91 (2016), Arkansas",5091
AR-506N3MY_Stubblefield_G,506N3MY,2018,Arkansas,AR,5,upper,610U500US05006,"State Senate District 6 (2016), Arkansas",5006
FL-6O2A23D_Jones_S,6O2A23D,2018,Florida,FL,12,lower,620L500US12101,"State House District 101 (2016), Florida",12101
FL-075RM4F_Pritchett_S,075RM4F,2018,Florida,FL,12,lower,620L500US12102,"State House District 102 (2016), Florida",12102
FL-H1S86Y4_Stark_R,H1S86Y4,2018,Florida,FL,12,lower,620L500US12104,"State House District 104 (2016), Florida",12104
FL-0O1VB15_Davis_T,0O1VB15,2018,Florida,FL,12,lower,620L500US12013,"State House District 13 (2016), Florida",12013
FL-6B52L7S_Daniels_K,6B52L7S,2018,Florida,FL,12,lower,620L500US12014,"State House District 14 (2016), Florida",12014
FL-EA11J36_Cortes_J,EA11J36,2018,Florida,FL,12,lower,620L500US12043,"State House District 43 (2016), Florida",12043
FL-55J8R4T_Brown_K,55J8R4T,2018,Florida,FL,12,lower,620L500US12045,"State House District 45 (2016), Florida",12045
FL-952LH9F_Newton_W,952LH9F,2018,Florida,FL,12,lower,620L500US12070,"State House District 70 (2016), Florida",12070
FL-8D1U08N_Alexander_R,8D1U08N,2018,Florida,FL,12,lower,620L500US12008,"State House District 8 (2016), Florida",12008
FL-R885GJ8_Ausley_L,R885GJ8,2018,Florida,FL,12,lower,620L500US12009,"State House District 9 (2016), Florida",12009
FL-X725BN9_Hawkins-Williams_P,X725BN9,2018,Florida,FL,12,lower,620L500US12092,"State House District 92 (2016), Florida",12092
FL-QR401L6_Jacobs_K,QR401L6,2018,Florida,FL,12,lower,620L500US12096,"State House District 96 (2016), Florida",12096
KS-KA9K824_Highberger_D,KA9K824,2018,Kansas,KS,20,lower,620L500US20046,"State House District 46 (2016), Kansas",20046
OK-2H11JD3_Tadlock_J,2H11JD3,2018,Oklahoma,OK,40,lower,620L500US40001,"State House District 1 (2016), Oklahoma",40001
OK-2126YHG_Meredith_M,2126YHG,2018,Oklahoma,OK,40,lower,620L500US40004,"State House District 4 (2016), Oklahoma",40004
OK-1J3F80T_Dunnington_J,1J3F80T,2018,Oklahoma,OK,40,lower,620L500US40088,"State House District 88 (2016), Oklahoma",40088
OK-TE761G3_Stone_S,TE761G3,2018,Oklahoma,OK,40,lower,620L500US40089,"State House District 89 (2016), Oklahoma",40089
OK-67OF4C4_Lowe_J,67OF4C4,2018,Oklahoma,OK,40,lower,620L500US40097,"State House District 97 (2016), Oklahoma",40097
OK-7C784ZF_Floyd_K,7C784ZF,2018,Oklahoma,OK,40,upper,610U500US40046,"State Senate District 46 (2016), Oklahoma",40046
FL-SM84N40_Watson_B,SM84N40,2018,Florida,FL,12,lower,620L500US12107,"State House District 107 (2016), Florida",12107
FL-4V33G0Y_Bush_J,4V33G0Y,2018,Florida,FL,12,lower,620L500US12109,"State House District 109 (2016), Florida",12109
FL-1G03HR5_Andrade_A,1G03HR5,2018,Florida,FL,12,lower,620L500US12002,"State House District 2 (2016), Florida",12002
FL-4F9D85B_Watson_C,4F9D85B,2018,Florida,FL,12,lower,620L500US12020,"State House District 20 (2016), Florida",12020
FL-56M86ZD_Antone_B,56M86ZD,2018,Florida,FL,12,lower,620L500US12046,"State House District 46 (2016), Florida",12046
FL-A02V7T9_Drake_B,A02V7T9,2018,Florida,FL,12,lower,620L500US12005,"State House District 5 (2016), Florida",12005
FL-Y06J3H0_Diamond_B,Y06J3H0,2018,Florida,FL,12,lower,620L500US12068,"State House District 68 (2016), Florida",12068
FL-W44Y3A8_Jacquet_A,W44Y3A8,2018,Florida,FL,12,lower,620L500US12088,"State House District 88 (2016), Florida",12088
FL-ZU6S720_Slosberg_E,ZU6S720,2018,Florida,FL,12,lower,620L500US12091,"State House District 91 (2016), Florida",12091
FL-68DT34K_DuBose_B,68DT34K,2018,Florida,FL,12,lower,620L500US12094,"State House District 94 (2016), Florida",12094
FL-0LZJ304_Omphroy_A,0LZJ304,2018,Florida,FL,12,lower,620L500US12095,"State House District 95 (2016), Florida",12095
FL-X2O158T_Jenne_E,X2O158T,2018,Florida,FL,12,lower,620L500US12099,"State House District 99 (2016), Florida",12099
AL-RI7077K_Dolan_B,RI7077K,2018,Alabama,AL,1,lower,620L500US01001,"State House District 1 (2016), Alabama",1001
AL-342KX1K_Pettus_P,342KX1K,2018,Alabama,AL,1,lower,620L500US01001,"State House District 1 (2016), Alabama",1001
AL-31QI50V_King_J,31QI50V,2018,Alabama,AL,1,lower,620L500US01010,"State House District 10 (2016), Alabama",1010
AL-970JI4E_Ball_M,970JI4E,2018,Alabama,AL,1,lower,620L500US01010,"State House District 10 (2016), Alabama",1010
AL-3Q8P30D_Boyd_E,3Q8P30D,2018,Alabama,AL,1,lower,620L500US01010,"State House District 10 (2016), Alabama",1010
AL-2I989MD_Gaston_V,2I989MD,2018,Alabama,AL,1,lower,620L500US01100,"State House District 100 (2016), Alabama",1100
AL-R5D9T37_Pringle_C,R5D9T37,2018,Alabama,AL,1,lower,620L500US01101,"State House District 101 (2016), Alabama",1101
AL-066UR2N_Stringer_S,066UR2N,2018,Alabama,AL,1,lower,620L500US01102,"State House District 102 (2016), Alabama",1102
AL-07ZA47V_Drummond_B,07ZA47V,2018,Alabama,AL,1,lower,620L500US01103,"State House District 103 (2016), Alabama",1103
AL-017U0CG_Easley_A,017U0CG,2018,Alabama,AL,1,lower,620L500US01104,"State House District 104 (2016), Alabama",1104
AL-O269U6N_Wilcox_M,O269U6N,2018,Alabama,AL,1,lower,620L500US01104,"State House District 104 (2016), Alabama",1104
AL-AP709Y0_Brown_C,AP709Y0,2018,Alabama,AL,1,lower,620L500US01105,"State House District 105 (2016), Alabama",1105
AL-7E155IN_Shedd_R,7E155IN,2018,Alabama,AL,1,lower,620L500US01011,"State House District 11 (2016), Alabama",1011
AL-UD78R72_Harbison_C,UD78R72,2018,Alabama,AL,1,lower,620L500US01012,"State House District 12 (2016), Alabama",1012
AL-Q8QC165_Rowe_C,Q8QC165,2018,Alabama,AL,1,lower,620L500US01013,"State House District 13 (2016), Alabama",1013
AL-31MMD14_Wadsworth_T,31MMD14,2018,Alabama,AL,1,lower,620L500US01014,"State House District 14 (2016), Alabama",1014
AL-5FL871N_Farley_A,5FL871N,2018,Alabama,AL,1,lower,620L500US01015,"State House District 15 (2016), Alabama",1015
AL-2QN9D88_Coleman_S,2QN9D88,2018,Alabama,AL,1,lower,620L500US01015,"State House District 15 (2016), Alabama",1015
AL-7F91L9W_South_K,7F91L9W,2018,Alabama,AL,1,lower,620L500US01016,"State House District 16 (2016), Alabama",1016
AL-AH185G9_Estes_T,AH185G9,2018,Alabama,AL,1,lower,620L500US01017,"State House District 17 (2016), Alabama",1017
AL-U150OE5_Britton_E,U150OE5,2018,Alabama,AL,1,lower,620L500US01018,"State House District 18 (2016), Alabama",1018
AL-EZ54Q08_Kiel_J,EZ54Q08,2018,Alabama,AL,1,lower,620L500US01018,"State House District 18 (2016), Alabama",1018
AL-06Q42FH_Hall_L,06Q42FH,2018,Alabama,AL,1,lower,620L500US01019,"State House District 19 (2016), Alabama",1019
AL-0E61DO2_Morrow_L,0E61DO2,2018,Alabama,AL,1,lower,620L500US01002,"State House District 2 (2016), Alabama",1002
AL-B8E96J6_Greer_L,B8E96J6,2018,Alabama,AL,1,lower,620L500US01002,"State House District 2 (2016), Alabama",1002
AL-6Q5B09Q_Meigs_L,6Q5B09Q,2018,Alabama,AL,1,lower,620L500US01020,"State House District 20 (2016), Alabama",1020
AL-WJX2248_Sanderford_H,WJX2248,2018,Alabama,AL,1,lower,620L500US01020,"State House District 20 (2016), Alabama",1020
AL-U14P20A_Reynolds_R,U14P20A,2018,Alabama,AL,1,lower,620L500US01021,"State House District 21 (2016), Alabama",1021
AL-VJ11P83_Jones_C,VJ11P83,2018,Alabama,AL,1,lower,620L500US01021,"State House District 21 (2016), Alabama",1021
AL-5PK07Y4_Whorton_R,5PK07Y4,2018,Alabama,AL,1,lower,620L500US01022,"State House District 22 (2016), Alabama",1022
AL-8Z02GU2_Hanes_J,8Z02GU2,2018,Alabama,AL,1,lower,620L500US01023,"State House District 23 (2016), Alabama",1023
AL-IY46X27_Ledbetter_N,IY46X27,2018,Alabama,AL,1,lower,620L500US01024,"State House District 24 (2016), Alabama",1024
AL-51X2L2Y_McCutcheon_M,51X2L2Y,2018,Alabama,AL,1,lower,620L500US01025,"State House District 25 (2016), Alabama",1025
AL-99BU61S_Rich_K,99BU61S,2018,Alabama,AL,1,lower,620L500US01026,"State House District 26 (2016), Alabama",1026
AL-0Z6OI98_Jones_B,0Z6OI98,2018,Alabama,AL,1,lower,620L500US01027,"State House District 27 (2016), Alabama",1027
AL-8Q9HL27_Kitchens_W,8Q9HL27,2018,Alabama,AL,1,lower,620L500US01027,"State House District 27 (2016), Alabama",1027
AL-V8030KP_Isbell_G,V8030KP,2018,Alabama,AL,1,lower,620L500US01028,"State House District 28 (2016), Alabama",1028
AL-816YKT1_Pierce_K,816YKT1,2018,Alabama,AL,1,lower,620L500US01028,"State House District 28 (2016), Alabama",1028
AL-V2S269R_Millican_J,V2S269R,2018,Alabama,AL,1,lower,620L500US01029,"State House District 29 (2016), Alabama",1029
AL-8VE7Y04_Nordgren_B,8VE7Y04,2018,Alabama,AL,1,lower,620L500US01029,"State House District 29 (2016), Alabama",1029
AL-42WQ7W7_Young_C,42WQ7W7,2018,Alabama,AL,1,lower,620L500US01003,"State House District 3 (2016), Alabama",1003
AL-1E6CJ59_Sorrell_A,1E6CJ59,2018,Alabama,AL,1,lower,620L500US01003,"State House District 3 (2016), Alabama",1003
AL-G1X8Y68_Lipscomb_B,G1X8Y68,2018,Alabama,AL,1,lower,620L500US01030,"State House District 30 (2016), Alabama",1030
AL-T72VT18_Vaughn_J,T72VT18,2018,Alabama,AL,1,lower,620L500US01030,"State House District 30 (2016), Alabama",1030
AL-889A8PC_Holmes_M,889A8PC,2018,Alabama,AL,1,lower,620L500US01031,"State House District 31 (2016), Alabama",1031
AL-SHV7806_Lloyd_J,SHV7806,2018,Alabama,AL,1,lower,620L500US01032,"State House District 32 (2016), Alabama",1032
AL-1W9PU77_Boyd_B,1W9PU77,2018,Alabama,AL,1,lower,620L500US01032,"State House District 32 (2016), Alabama",1032
AL-29F95WF_Brewer_S,29F95WF,2018,Alabama,AL,1,lower,620L500US01033,"State House District 33 (2016), Alabama",1033
AL-V3I8C97_Johnson_R,V3I8C97,2018,Alabama,AL,1,lower,620L500US01033,"State House District 33 (2016), Alabama",1033
AL-0T7JV32_Standridge_D,0T7JV32,2018,Alabama,AL,1,lower,620L500US01034,"State House District 34 (2016), Alabama",1034
AL-42S4TD2_Hurst_S,42S4TD2,2018,Alabama,AL,1,lower,620L500US01035,"State House District 35 (2016), Alabama",1035
AL-9KD8C55_Wood_R,9KD8C55,2018,Alabama,AL,1,lower,620L500US01036,"State House District 36 (2016), Alabama",1036
AL-J97F3I2_Arnold-Swindle_N,J97F3I2,2018,Alabama,AL,1,lower,620L500US01036,"State House District 36 (2016), Alabama",1036
AL-R94Z9N8_Clark-Frieson_C,R94Z9N8,2018,Alabama,AL,1,lower,620L500US01037,"State House District 37 (2016), Alabama",1037
AL-MP0342O_Fincher_B,MP0342O,2018,Alabama,AL,1,lower,620L500US01037,"State House District 37 (2016), Alabama",1037
AL-GF3651T_McGee_B,GF3651T,2018,Alabama,AL,1,lower,620L500US01038,"State House District 38 (2016), Alabama",1038
AL-B831HD5_Wood_D,B831HD5,2018,Alabama,AL,1,lower,620L500US01038,"State House District 38 (2016), Alabama",1038
AL-6L9T6T6_Shaver_G,6L9T6T6,2018,Alabama,AL,1,lower,620L500US01039,"State House District 39 (2016), Alabama",1039
AL-D2R9I35_Cummings_J,D2R9I35,2018,Alabama,AL,1,lower,620L500US01004,"State House District 4 (2016), Alabama",1004
AL-2X26O9V_Willis_P,2X26O9V,2018,Alabama,AL,1,lower,620L500US01004,"State House District 4 (2016), Alabama",1004
AL-YAD0544_Moore_P,YAD0544,2018,Alabama,AL,1,lower,620L500US01004,"State House District 4 (2016), Alabama",1004
AL-O930W1O_Howard_P,O930W1O,2018,Alabama,AL,1,lower,620L500US01040,"State House District 40 (2016), Alabama",1040
AL-354KUK5_Brown_K,354KUK5,2018,Alabama,AL,1,lower,620L500US01040,"State House District 40 (2016), Alabama",1040
AL-O206J0L_Marcum_E,O206J0L,2018,Alabama,AL,1,lower,620L500US01041,"State House District 41 (2016), Alabama",1041
AL-5KWE855_Ellis_C,5KWE855,2018,Alabama,AL,1,lower,620L500US01041,"State House District 41 (2016), Alabama",1041
AL-3682QKH_Martin_J,3682QKH,2018,Alabama,AL,1,lower,620L500US01042,"State House District 42 (2016), Alabama",1042
AL-JP47A55_Mayo_C,JP47A55,2018,Alabama,AL,1,lower,620L500US01043,"State House District 43 (2016), Alabama",1043
AL-1M73GA6_Mooney_A,1M73GA6,2018,Alabama,AL,1,lower,620L500US01043,"State House District 43 (2016), Alabama",1043
AL-1V0JG32_Garrett_D,1V0JG32,2018,Alabama,AL,1,lower,620L500US01044,"State House District 44 (2016), Alabama",1044
AL-791YM3W_Drake_D,791YM3W,2018,Alabama,AL,1,lower,620L500US01045,"State House District 45 (2016), Alabama",1045
AL-I7ZL979_Gray_J,I7ZL979,2018,Alabama,AL,1,lower,620L500US01045,"State House District 45 (2016), Alabama",1045
AL-15T7KW3_Stewart_F,15T7KW3,2018,Alabama,AL,1,lower,620L500US01046,"State House District 46 (2016), Alabama",1046
AL-09R33AO_Faulkner_D,09R33AO,2018,Alabama,AL,1,lower,620L500US01046,"State House District 46 (2016), Alabama",1046
AL-0Z08LV2_Wheeler_D,0Z08LV2,2018,Alabama,AL,1,lower,620L500US01047,"State House District 47 (2016), Alabama",1047
AL-3ZM560H_Toomey_J,3ZM560H,2018,Alabama,AL,1,lower,620L500US01047,"State House District 47 (2016), Alabama",1047
AL-84UL68S_Summerford_A,84UL68S,2018,Alabama,AL,1,lower,620L500US01048,"State House District 48 (2016), Alabama",1048
AL-A881UX7_Carns_J,A881UX7,2018,Alabama,AL,1,lower,620L500US01048,"State House District 48 (2016), Alabama",1048
AL-H03T6L1_Weaver_A,H03T6L1,2018,Alabama,AL,1,lower,620L500US01049,"State House District 49 (2016), Alabama",1049
AL-19T05JC_Williams_B,19T05JC,2018,Alabama,AL,1,lower,620L500US01005,"State House District 5 (2016), Alabama",1005
AL-Y7Z8U82_Crawford_D,Y7Z8U82,2018,Alabama,AL,1,lower,620L500US01005,"State House District 5 (2016), Alabama",1005
