candidate_ID,assigned_ID,year,name,first_name,last_name,bp_url
AR-Y50KB81_Dalby_C,Y50KB81,2018,Carol Dalby,Carol,Dalby,https://ballotpedia.org/Carol_Dalby
AR-V208G8R_Hillman_D,V208G8R,2018,David Hillman,David,Hillman,https://ballotpedia.org/David_Hillman
AR-107EA1K_Watson_D,107EA1K,2018,Danny Watson,Danny,Watson,https://ballotpedia.org/Danny_Watson
AR-V56PB68_Blake_C,V56PB68,2018,Charles Blake,Charles,Blake,https://ballotpedia.org/Charles_Blake
AR-3F03ON2_Vaught_D,3F03ON2,2018,DeAnn Vaught,DeAnn,Vaught,https://ballotpedia.org/DeAnn_Vaught
AR-F057EH1_Evans_B,F057EH1,2018,Brian Evans,Brian,Evans,https://ballotpedia.org/Brian_Evans_(Arkansas)
AR-1G7G7O5_Cooper_C,1G7G7O5,2018,Cameron Cooper,Cameron,Cooper,https://ballotpedia.org/Cameron_Cooper
AR-07OZB12_Ferguson_D,07OZB12,2018,Deborah Ferguson,Deborah,Ferguson,https://ballotpedia.org/Deborah_Ferguson
AR-7A5IE92_Tosh_D,7A5IE92,2018,Dwight Tosh,Dwight,Tosh,https://ballotpedia.org/Dwight_Tosh
AR-8QY8I97_Sullivan_D,8QY8I97,2018,Dan Sullivan,Dan,Sullivan,https://ballotpedia.org/Dan_Sullivan_(Arkansas)
AR-79K87BJ_Smith_B,79K87BJ,2018,Brandt Smith,Brandt,Smith,https://ballotpedia.org/Brandt_Smith
AR-R2V13M3_Ladyman_J,R2V13M3,2018,Jack Ladyman,Jack,Ladyman,https://ballotpedia.org/Jack_Ladyman
AR-Z7O089Z_Deffenbaugh_G,Z7O089Z,2018,Gary Deffenbaugh,Gary,Deffenbaugh,https://ballotpedia.org/Gary_Deffenbaugh
AR-J991V2S_Penzo_C,J991V2S,2018,Clint Penzo,Clint,Penzo,https://ballotpedia.org/Clint_Penzo
AR-EZO2169_Douglas_D,EZO2169,2018,Dan Douglas,Dan,Douglas,https://ballotpedia.org/Dan_Douglas
AR-506N3MY_Stubblefield_G,506N3MY,2018,Gary Stubblefield,Gary,Stubblefield,https://ballotpedia.org/Gary_Stubblefield
FL-6O2A23D_Jones_S,6O2A23D,2018,Shevrin Jones,Shevrin,Jones,https://ballotpedia.org/Shevrin_Jones
