candidate_ID,assigned_ID,year,website,website.binary,party_full,incumbent_status,party_short
AR-Y50KB81_Dalby_C,Y50KB81,2018,NA,0,Republican,I,R
AR-V208G8R_Hillman_D,V208G8R,2018,NA,0,Republican,I,R
AR-107EA1K_Watson_D,107EA1K,2018,NA,0,Republican,I,R
AR-V56PB68_Blake_C,V56PB68,2018,NA,0,Democrat,I,D
AR-3F03ON2_Vaught_D,3F03ON2,2018,NA,0,Republican,I,R
AR-F057EH1_Evans_B,F057EH1,2018,NA,0,Republican,O,R
AR-1G7G7O5_Cooper_C,1G7G7O5,2018,NA,0,Republican,O,R
AR-07OZB12_Ferguson_D,07OZB12,2018,NA,0,Democrat,I,D
AR-7A5IE92_Tosh_D,7A5IE92,2018,NA,0,Republican,I,R
AR-8QY8I97_Sullivan_D,8QY8I97,2018,NA,0,Republican,I,R
AR-79K87BJ_Smith_B,79K87BJ,2018,NA,0,Republican,I,R
AR-R2V13M3_Ladyman_J,R2V13M3,2018,NA,0,Republican,I,R
AR-Z7O089Z_Deffenbaugh_G,Z7O089Z,2018,NA,0,Republican,I,R
AR-J991V2S_Penzo_C,J991V2S,2018,NA,0,Republican,I,R
AR-EZO2169_Douglas_D,EZO2169,2018,NA,0,Republican,I,R
AR-506N3MY_Stubblefield_G,506N3MY,2018,NA,0,Republican,I,R
FL-6O2A23D_Jones_S,6O2A23D,2018,https://shevrinjones.com/,1,Democrat,I,D
FL-075RM4F_Pritchett_S,075RM4F,2018,NA,0,Democrat,I,D
FL-H1S86Y4_Stark_R,H1S86Y4,2018,NA,0,Democrat,I,D
FL-0O1VB15_Davis_T,0O1VB15,2018,NA,0,Democrat,I,D
FL-6B52L7S_Daniels_K,6B52L7S,2018,https://kimberlydaniels.net/,1,Democrat,I,D
FL-EA11J36_Cortes_J,EA11J36,2018,https://johncortesfl.com/,1,Democrat,I,D
FL-55J8R4T_Brown_K,55J8R4T,2018,NA,0,Democrat,I,D
FL-952LH9F_Newton_W,952LH9F,2018,http://www.newthd70.com/,1,Democrat,I,D
FL-8D1U08N_Alexander_R,8D1U08N,2018,http://www.ramonalexander.com/,1,Democrat,I,D
FL-R885GJ8_Ausley_L,R885GJ8,2018,https://www.ausleyforsenate.com/,1,Democrat,I,D
FL-X725BN9_Hawkins-Williams_P,X725BN9,2018,NA,0,Democrat,I,D
FL-QR401L6_Jacobs_K,QR401L6,2018,NA,0,Democrat,I,D
KS-KA9K824_Highberger_D,KA9K824,2018,http://www.boog46.com/,1,Democrat,I,D
OK-2H11JD3_Tadlock_J,2H11JD3,2018,NA,0,Republican,I,R
OK-2126YHG_Meredith_M,2126YHG,2018,NA,0,Democrat,I,D
OK-1J3F80T_Dunnington_J,1J3F80T,2018,http://jasondunnington.com/,1,Democrat,I,D
OK-TE761G3_Stone_S,TE761G3,2018,NA,0,Democrat,I,D
OK-67OF4C4_Lowe_J,67OF4C4,2018,NA,0,Democrat,I,D
OK-7C784ZF_Floyd_K,7C784ZF,2018,NA,0,Democrat,I,D
FL-SM84N40_Watson_B,SM84N40,2018,NA,0,Democrat,I,D
FL-4V33G0Y_Bush_J,4V33G0Y,2018,NA,0,Democrat,O,D
FL-1G03HR5_Andrade_A,1G03HR5,2018,https://www.voteandrade.com/,1,Republican,C,R
FL-4F9D85B_Watson_C,4F9D85B,2018,NA,0,Democrat,I,D
FL-56M86ZD_Antone_B,56M86ZD,2018,NA,0,Democrat,I,D
FL-A02V7T9_Drake_B,A02V7T9,2018,http://www.braddrake.com/,1,Republican,I,R
FL-Y06J3H0_Diamond_B,Y06J3H0,2018,https://www.votebendiamond.com/,1,Democrat,I,D
FL-W44Y3A8_Jacquet_A,W44Y3A8,2018,NA,0,Democrat,I,D
FL-ZU6S720_Slosberg_E,ZU6S720,2018,https://slosberg.org/,1,Democrat,I,D
FL-68DT34K_DuBose_B,68DT34K,2018,NA,0,Democrat,I,D
FL-0LZJ304_Omphroy_A,0LZJ304,2018,http://anikaomphroy.com/,1,Democrat,O,D
FL-X2O158T_Jenne_E,X2O158T,2018,NA,0,Democrat,I,D
AL-RI7077K_Dolan_B,RI7077K,2018,NA,0,Independent,C,O
AL-342KX1K_Pettus_P,342KX1K,2018,NA,0,Republican,I,R
