"","long.fips","long.name","short.fips","year","median.age","hs.plus","bachelors.plus","ag.percent.employ","mean.income","median.income","white.percent","papers.total","papers.daily","ktype_use","k.seats","party.presence","party.comp","general.presence","general.comp","population","pop_density"
"1","610U500US0200B","State Senate District B (2016), Alaska","0200B",2020,33.8,96.1,37.1,0.18,101947,84143,85.99,1,1,"SMD",1,0,0,1,1,37842,43.80778844
"2","610U500US0200D","State Senate District D (2016), Alaska","0200D",2020,34.1,91.1,15.8,0.5,83848,70767,83.12,1,0,"SMD",1,0,0,1,1,39406,65.87373894
"3","610U500US0200F","State Senate District F (2016), Alaska","0200F",2020,34.2,95.5,27,1.37,100427,82151,83.34,7,1,"SMD",1,0,0,1,1,39080,40.91362598
"4","610U500US0200H","State Senate District H (2016), Alaska","0200H",2020,27.3,93.5,27.1,0.31,83421,68572,51.77,6,1,"SMD",1,1,1,1,1,35917,1437.369938
"5","610U500US0200J","State Senate District J (2016), Alaska","0200J",2020,32.5,87.4,27.5,0.84,74963,52383,45.93,6,1,"SMD",1,0,0,0,1,33905,4258.352173
"6","610U500US0200L","State Senate District L (2016), Alaska","0200L",2020,35.3,93.1,32,0.48,113447,93352,66.69,6,1,"SMD",1,1,1,1,1,35706,2319.92723
"7","610U500US0200N","State Senate District N (2016), Alaska","0200N",2020,38.8,96.1,47.5,0.41,139188,114778,73.84,6,1,"SMD",1,1,1,1,1,37132,60.02741746
"8","610U500US0200P","State Senate District P (2016), Alaska","0200P",2020,39.8,92.5,27.5,9.36,81074,67942,71.84,5,2,"SMD",1,0,0,1,1,37142,1.080885488
"9","610U500US0200R","State Senate District R (2016), Alaska","0200R",2020,40.2,91.5,24.1,9.34,77038,62247,62.47,2,2,"SMD",1,0,0,0,1,36167,1.67354859
"10","610U500US0200T","State Senate District T (2016), Alaska","0200T",2020,28.5,83.7,12,0.89,69951,53051,17.27,1,0,"SMD",1,1,1,1,1,36614,0.172080893
"11","610U500US04001","State Senate District 1 (2016), Arizona","4001",2020,48.4,92.4,30.3,0.75,73534,53819,92.77,27,3,"SMD",1,1,1,1,1,224635,NA
"12","610U500US04002","State Senate District 2 (2016), Arizona","4002",2020,36.4,79.3,21.9,0.86,54177,42052,76.88,8,1,"SMD",1,1,1,1,1,208349,NA
"13","610U500US04003","State Senate District 3 (2016), Arizona","4003",2020,31.1,79.2,19,0.44,47957,34787,69.16,7,1,"SMD",1,0,0,0,1,208917,NA
"14","610U500US04004","State Senate District 4 (2016), Arizona","4004",2020,32,71,13.1,7.88,53384,41046,71.37,35,5,"SMD",1,1,1,1,1,211820,NA
"15","610U500US04005","State Senate District 5 (2016), Arizona","4005",2020,50.3,83.1,11.8,1.74,52361,39541,88.81,4,3,"SMD",1,1,1,1,1,222388,NA
"16","610U500US04006","State Senate District 6 (2016), Arizona","4006",2020,42.2,90.3,30.3,1.57,63900,47039,84.38,18,2,"SMD",1,1,1,1,1,218160,NA
"17","610U500US04007","State Senate District 7 (2016), Arizona","4007",2020,32.8,78.5,12.8,1.48,47369,35221,26.21,23,5,"SMD",1,1,1,1,1,206014,NA
"18","610U500US04008","State Senate District 8 (2016), Arizona","4008",2020,36.6,81.6,14.6,1.82,57322,46938,77.46,12,1,"SMD",1,1,1,1,1,220387,NA
"19","610U500US04009","State Senate District 9 (2016), Arizona","4009",2020,41.1,92.5,41.3,0.11,71707,47364,81.45,7,1,"SMD",1,0,0,0,1,213289,NA
"20","610U500US04010","State Senate District 10 (2016), Arizona","4010",2020,41.1,91.4,32.6,0.36,63017,46817,79.24,7,1,"SMD",1,1,1,1,1,214885,NA
"21","610U500US04011","State Senate District 11 (2016), Arizona","4011",2020,41.8,91.1,33.2,2.11,80641,64565,82.6,15,2,"SMD",1,1,1,1,1,223316,NA
"22","610U500US04012","State Senate District 12 (2016), Arizona","4012",2020,33.1,95.6,41.4,0.33,102591,86807,84.98,27,3,"SMD",1,1,1,1,1,247330,NA
"23","610U500US04013","State Senate District 13 (2016), Arizona","4013",2020,38.6,87.1,22.5,4.23,73286,58038,78.82,28,4,"SMD",1,1,1,1,1,231011,NA
"24","610U500US04014","State Senate District 14 (2016), Arizona","4014",2020,38,88.1,23.6,2.24,65650,52357,85.05,14,2,"SMD",1,1,1,1,1,219468,NA
"25","610U500US04015","State Senate District 15 (2016), Arizona","4015",2020,39.1,94.6,42.6,0.39,95436,75284,85.07,19,2,"SMD",1,1,1,1,1,227909,NA
"26","610U500US04016","State Senate District 16 (2016), Arizona","4016",2020,42.3,89.8,22.8,0.56,67402,52823,89.79,27,3,"SMD",1,1,1,1,1,239932,NA
"27","610U500US04017","State Senate District 17 (2016), Arizona","4017",2020,37.6,91.6,39.7,0.37,91265,72327,79.12,19,2,"SMD",1,1,1,1,1,227172,NA
"28","610U500US04018","State Senate District 18 (2016), Arizona","4018",2020,37.4,95.6,47,0.2,97441,76186,78.71,19,2,"SMD",1,1,1,1,1,228090,NA
"29","610U500US04019","State Senate District 19 (2016), Arizona","4019",2020,27.5,71.5,13.6,0.57,56473,47483,69.45,19,2,"SMD",1,0,0,0,1,232214,NA
"30","610U500US04020","State Senate District 20 (2016), Arizona","4020",2020,36.8,88.8,24,0.25,64070,51126,82.5,19,2,"SMD",1,1,1,1,1,231834,NA
"31","610U500US04021","State Senate District 21 (2016), Arizona","4021",2020,42.2,88.9,20.7,0.33,60829,49287,85.09,19,2,"SMD",1,1,1,1,1,227228,NA
"32","610U500US04022","State Senate District 22 (2016), Arizona","4022",2020,46,94.9,35.6,0.21,83392,67641,87.56,19,2,"SMD",1,1,1,1,1,228336,NA
"33","610U500US04023","State Senate District 23 (2016), Arizona","4023",2020,49.6,97.2,57.7,0.32,125214,81586,90.19,19,2,"SMD",1,1,1,1,1,226503,NA
"34","610U500US04024","State Senate District 24 (2016), Arizona","4024",2020,34.1,81.5,29.6,0.42,57418,40899,66.81,19,2,"SMD",1,1,1,1,1,224908,NA
"35","610U500US04025","State Senate District 25 (2016), Arizona","4025",2020,40.8,90.7,27,0.22,69659,50696,87.04,19,2,"SMD",1,1,1,1,1,234535,NA
"36","610U500US04026","State Senate District 26 (2016), Arizona","4026",2020,27.4,81,25.2,0.44,48601,37021,69.9,19,2,"SMD",1,1,1,1,1,228611,NA
"37","610U500US04027","State Senate District 27 (2016), Arizona","4027",2020,29.5,72.2,18.5,0.54,56654,43030,52.26,19,2,"SMD",1,1,1,1,1,222113,NA
"38","610U500US04028","State Senate District 28 (2016), Arizona","4028",2020,40.5,89.7,42.1,0.25,96831,56341,84.75,19,2,"SMD",1,1,1,1,1,231196,NA
"39","610U500US04029","State Senate District 29 (2016), Arizona","4029",2020,27.7,67,9.6,0.75,48568,39043,66.66,19,2,"SMD",1,1,1,1,1,233660,NA
"40","610U500US04030","State Senate District 30 (2016), Arizona","4030",2020,30,69,11.3,0.36,40665,30411,73.07,19,2,"SMD",1,0,0,0,1,214367,NA
"41","610U500US05001","State Senate District 1 (2016), Arkansas","5001",2020,33.4,92,44,1.13,99218,72547,85.71,8,1,"SMD",1,1,1,1,1,96909,NA
"42","610U500US05002","State Senate District 2 (2016), Arkansas","5002",2020,40.3,88.1,24.9,2.56,67101,53158,90.7,8,1,"SMD",1,1,1,1,1,89056,NA
"43","610U500US05007","State Senate District 7 (2016), Arkansas","5007",2020,32.1,76.1,23.6,1.49,69883,47822,68.02,4,1,"SMD",1,0,0,0,0,91799,NA
"44","610U500US05011","State Senate District 11 (2016), Arkansas","5011",2020,38.5,82.4,12.8,3.25,50850,37903,68.99,5,1,"SMD",1,0,0,0,0,82206,NA
"45","610U500US05012","State Senate District 12 (2016), Arkansas","5012",2020,38.8,86.4,20.7,2.2,51570,37431,67.28,5,0,"SMD",1,1,1,1,1,81121,NA
"46","610U500US05013","State Senate District 13 (2016), Arkansas","5013",2020,38.9,86.6,15.9,1.24,58869,45516,87.32,5,3,"SMD",1,1,1,1,1,86618,NA
"47","610U500US05016","State Senate District 16 (2016), Arkansas","5016",2020,37.1,82,18.8,2.58,51912,38986,92.07,9,2,"SMD",1,0,0,0,0,85429,NA
"48","610U500US05021","State Senate District 21 (2016), Arkansas","5021",2020,33.3,88.6,26.9,1.74,62419,44213,78.67,1,1,"SMD",1,0,0,0,0,90245,NA
"49","610U500US05022","State Senate District 22 (2016), Arkansas","5022",2020,37.7,80.1,11.6,6.41,47912,36101,73.78,4,1,"SMD",1,0,0,0,0,77138,NA
"50","610U500US05023","State Senate District 23 (2016), Arkansas","5023",2020,40.4,77.3,10.8,7.09,47965,35373,73.96,8,2,"SMD",1,0,0,0,0,76645,NA
"51","610U500US05025","State Senate District 25 (2016), Arkansas","5025",2020,37,80.5,13,3.8,44204,31858,40.02,7,0,"SMD",1,0,0,0,0,75947,NA
"52","610U500US05026","State Senate District 26 (2016), Arkansas","5026",2020,40.6,82,15,7.23,48232,34209,66.88,10,0,"SMD",1,1,1,1,1,79692,NA
"53","610U500US05027","State Senate District 27 (2016), Arkansas","5027",2020,41.8,84.8,18.6,1.88,53502,39715,63.04,6,1,"SMD",1,1,1,1,1,80263,NA
"54","610U500US05028","State Senate District 28 (2016), Arkansas","5028",2020,37,84.1,18.4,5.38,55421,39514,80.32,8,1,"SMD",1,0,0,0,0,85288,NA
"55","610U500US05029","State Senate District 29 (2016), Arkansas","5029",2020,37,89.4,19.8,0.82,67971,58196,92.94,7,3,"SMD",1,0,0,0,0,87156,NA
"56","610U500US05032","State Senate District 32 (2016), Arkansas","5032",2020,37.4,95.8,53.8,0.3,88888,58557,73.96,2,1,"SMD",1,1,1,1,1,85338,NA
"57","610U500US05034","State Senate District 34 (2016), Arkansas","5034",2020,36.2,93.1,32.1,0.25,70129,53432,70.16,2,1,"SMD",1,1,1,1,1,89265,NA
"58","610U500US06001","State Senate District 1 (2016), California","6001",2020,44.1,92.1,31.6,1.88,86100,63133,85.81,36,6,"SMD",1,1,1,1,1,947833,NA
"59","610U500US06003","State Senate District 3 (2016), California","6003",2020,37.6,87.6,32.1,2.83,92032,70379,64.16,38,9,"SMD",1,1,1,1,1,961279,NA
"60","610U500US06005","State Senate District 5 (2016), California","6005",2020,34.2,79.3,18.3,4.23,72827,55221,60.94,25,5,"SMD",1,1,1,1,1,976697,NA
"61","610U500US06007","State Senate District 7 (2016), California","6007",2020,39.4,91.4,45.1,0.46,127967,96467,63.68,18,1,"SMD",1,1,1,1,1,990045,NA
"62","610U500US06009","State Senate District 9 (2016), California","6009",2020,36.9,84.3,42.6,0.43,94228,65314,44.27,18,1,"SMD",1,0,0,1,1,988792,NA
"63","610U500US06011","State Senate District 11 (2016), California","6011",2020,38.4,87.3,52.4,0.18,124467,86567,44.81,11,3,"SMD",1,0,0,0,1,981433,NA
"64","610U500US06013","State Senate District 13 (2016), California","6013",2020,38.5,90.8,56.6,0.43,156571,107632,58.01,22,2,"SMD",1,1,1,1,1,977631,NA
