candidate_ID,assigned_ID,year,website_url,website_binary,party_full,incumbent_status,party_short
AK-8IS112D_Myers_R,8IS112D,2020,https://www.myersforalaska.com/,1,Republican,O,R
AK-Y6Y320E_Eads_E,Y6Y320E,2020,https://www.evaneads.com/,1,Independent,O,O
AK-2Q0Y90V_Sanford_M,2Q0Y90V,2020,https://marnasanford.com/,1,Independent,O,O
AK-8372WJV_Wilson_D,8372WJV,2020,https://www.davidwilsonforsenate.com/,1,Republican,I,R
AK-26WKQ69_Lamb_T,26WKQ69,2020,NA,0,Independent,C,O
AK-X3F039M_Mayfield_J,X3F039M,2020,https://www.danmayfieldalaska.com/,1,Independent,C,O
AK-B1514GZ_Hughes_S,B1514GZ,2020,NA,0,Republican,I,R
AK-P596LM4_Christiansen_G,P596LM4,2020,NA,0,Libertarian,C,O
AK-J56DS31_Cooper_J,J56DS31,2020,https://jimcooperforalaska.com/,1,Independent,C,O
AK-3O46Q2G_Wielechowski_B,3O46Q2G,2020,http://senatorbill.org/,1,Democrat,I,D
AK-16DW1V9_Gaiser_M,16DW1V9,2020,https://madforalaska.com/,1,Republican,C,R
AK-842YCA3_Begich_T,842YCA3,2020,NA,0,Democrat,I,D
AK-F44K3K7_Imhof_N,F44K3K7,2020,http://www.natashaforalaska.com/,1,Republican,I,R
AK-1FJH519_Cacy_R,1FJH519,2020,https://www.roselynncacy.com/,1,Democrat,C,D
AK-8G14NO1_Johnson_C,8G14NO1,2020,https://www.carl4alaska.com/,1,Democrat,O,D
AK-IR8P483_Holland_R,IR8P483,2020,https://www.hollandforalaska.com/,1,Republican,O,R
AK-SN4D781_Clift_C,SN4D781,2020,https://carecliftforalaska.com/,1,Independent,O,O
AK-8F30J5N_Stevens_G,8F30J5N,2020,NA,0,Republican,I,R
AK-1S41K0L_Madden_G,1S41K0L,2020,https://www.gregmaddenforalaska.com/,1,Independent,C,O
AK-Y6HY792_Stedman_B,Y6HY792,2020,http://bertstedman.com/,1,Republican,I,R
AK-R87D9S6_Olson_D,R87D9S6,2020,NA,0,Democrat,I,D
AK-FA75V12_Baker_T,FA75V12,2020,https://www.thomasbakerforsenate.com/,1,Republican,C,R
AZ-9O394ER_Carillo_G,9O394ER,2020,NA,0,Democrat,C,D
AZ-U778V1Y_Fann_K,U778V1Y,2020,http://electkarenfann.com/,1,Republican,I,R
AZ-Y56E1J8_Gabaldon_R,Y56E1J8,2020,http://www.votegabaldon.com/,1,Democrat,C,D
AZ-9CP448E_Workman_M,9CP448E,2020,https://workman4you.com/,1,Republican,C,R
AZ-CL26B59_Gonzales_S,CL26B59,2020,NA,0,Democrat,I,D
AZ-7F0Z3P8_Otondo_L,7F0Z3P8,2020,https://www.otondofor4.com/,1,Democrat,I,D
AZ-S1326KH_Angry_T,S1326KH,2020,https://angryforarizona.com/,1,Republican,C,R
AZ-2KL462Y_Snyder_G,2KL462Y,2020,https://www.snyder4arizona.com/,1,Independent,C,O
AZ-2208VAG_Murray_A,2208VAG,2020,NA,0,Democrat,C,D
AZ-6T5WS83_Schul_Z,6T5WS83,2020,NA,0,Democrat,C,D
AZ-5Y6P1B1_Borrelli_S,5Y6P1B1,2020,NA,0,Republican,I,R
AZ-61EH9B3_French_F,61EH9B3,2020,https://www.feliciafrench.com/,1,Democrat,C,D
AZ-U5513CX_Rogers_W,U5513CX,2020,https://wendyrogers.org/,1,Republican,C,R
AZ-K982KN4_Peshlakai_J,K982KN4,2020,NA,0,Democrat,I,D
AZ-54C4NM9_McGuire_B,54C4NM9,2020,http://www.senatormcguire.com/,1,Democrat,C,D
AZ-AS0387H_Shope_T,AS0387H,2020,http://www.realleadershipaz.com/,1,Republican,C,R
AZ-ZRA4448_Steele_V,ZRA4448,2020,https://victoriasteeleforsenate.com/,1,Democrat,I,D
AZ-2Y13NH3_Engel_K,2Y13NH3,2020,https://www.engelforarizona.com/,1,Democrat,C,D
AZ-F3WT627_Wadsack_J,F3WT627,2020,https://wadsack4arizona.com/,1,Republican,C,R
AZ-5X97Q3C_Mendoza_J,5X97Q3C,2020,https://www.mendoza4arizona.com/,1,Democrat,C,D
AZ-81CH2Y4_Leach_V,81CH2Y4,2020,https://vinceleach.com/,1,Republican,I,R
AZ-3FL5L52_Robinson_L,3FL5L52,2020,http://www.lynseyrobinson4az.com/,1,Democrat,C,D
AZ-36NZ46U_Petersen_W,36NZ46U,2020,NA,0,Republican,C,R
AZ-9BEW521_Kerr_S,9BEW521,2020,https://votekerr.com/,1,Republican,I,R
AZ-41W7JB0_Backus_B,41W7JB0,2020,NA,0,Republican,C,R
AZ-O195Z1S_Karp_B,O195Z1S,2020,https://bobkarp2020.vote/,1,Democrat,C,D
AZ-116MQV8_Gowan_D,116MQV8,2020,https://gowanforaz.com/,1,Republican,I,R
AZ-3708RKL_Barto_N,3708RKL,2020,http://nancybarto.com/wordpress/,1,Republican,C,R
AZ-61S4M5S_Smith_M,61S4M5S,2020,NA,0,Independent,C,O
AZ-6F6R4R7_Grayson_R,6F6R4R7,2020,NA,0,Democrat,C,D
AZ-W5W60S8_Townsend_K,W5W60S8,2020,http://www.electkellytownsend.com/,1,Republican,C,R
AZ-0W995JG_Fierro_N,0W995JG,2020,https://vote4fierro2020.com/,1,Independent,C,O
AZ-6Z076NA_Hart_J,6Z076NA,2020,NA,0,Independent,C,O
AZ-9LB268O_Kurdoglu_A,9LB268O,2020,https://www.voteforaj.com/,1,Democrat,C,D
AZ-57X5I4S_Mesnard_J,57X5I4S,2020,http://www.jdmesnard.com/,1,Republican,I,R
AZ-M99G5G6_Bowie_S,M99G5G6,2020,http://www.seanbowieforaz.com/,1,Democrat,I,D
AZ-622SA4T_Sharer_S,622SA4T,2020,https://www.suzannesharerforaz.com/,1,Republican,C,R
AZ-IG283K8_Contreras_L,IG283K8,2020,NA,0,Democrat,I,D
AZ-862K8VC_Ervin_D,862K8VC,2020,https://www.ervinforaz.com/,1,Democrat,C,D
AZ-4J9A4B1_Boyer_P,4J9A4B1,2020,http://boyeraz.com/,1,Republican,I,R
